epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14261.9,1.59549,1.10462,1.22832,0.77493,0.6746,0.75792,0.366,1.74583,1.14469,1.34341,0.00884029,0.00884029,0.00884029
43,14483,1.60457,1.09918,1.22756,0.80362,0.68047,0.77625,0.38549,1.71624,1.11224,1.3271,0.008812,0.008812,0.008812
44,14720.1,1.58503,1.08256,1.22265,0.79263,0.68461,0.77749,0.37954,1.71588,1.1176,1.31719,0.00878371,0.00878371,0.00878371
45,14928.1,1.58126,1.07887,1.22314,0.78735,0.68225,0.77821,0.37981,1.74165,1.09324,1.33903,0.00875543,0.00875543,0.00875543
46,15159.3,1.58534,1.0743,1.22115,0.78139,0.67288,0.76947,0.37281,1.749,1.09827,1.34244,0.00872714,0.00872714,0.00872714
47,15363.8,1.57276,1.05427,1.21432,0.79734,0.68559,0.7688,0.37753,1.73126,1.09449,1.32758,0.00869886,0.00869886,0.00869886
48,15595.1,1.57004,1.05883,1.21981,0.78397,0.69122,0.77396,0.38355,1.73437,1.08095,1.34538,0.00867057,0.00867057,0.00867057
49,15808.7,1.56671,1.04953,1.21233,0.78153,0.71596,0.79387,0.3927,1.71701,1.05185,1.32091,0.00864229,0.00864229,0.00864229
50,16031.5,1.55535,1.03429,1.2161,0.75876,0.69678,0.76682,0.3763,1.73202,1.09071,1.34608,0.008614,0.008614,0.008614
51,16236.4,1.55472,1.03652,1.21459,0.81285,0.70439,0.79403,0.39207,1.73461,1.03862,1.34447,0.00858571,0.00858571,0.00858571
52,16477.9,1.55166,1.03725,1.21184,0.79381,0.71877,0.79974,0.39016,1.72681,1.04274,1.31832,0.00855743,0.00855743,0.00855743
53,16687.9,1.55119,1.02415,1.20677,0.80359,0.70807,0.79507,0.39319,1.70599,1.0305,1.31905,0.00852914,0.00852914,0.00852914
54,16908.4,1.55079,1.01215,1.2058,0.79265,0.70703,0.78838,0.38765,1.73182,1.05879,1.32701,0.00850086,0.00850086,0.00850086
55,17114.5,1.55342,1.01849,1.20774,0.80583,0.69703,0.78556,0.38149,1.74487,1.04975,1.34168,0.00847257,0.00847257,0.00847257
56,17338.6,1.54232,1.00684,1.2032,0.80907,0.69164,0.78692,0.38487,1.73094,1.07472,1.33587,0.00844429,0.00844429,0.00844429
57,17548.3,1.53687,1.01105,1.19784,0.80512,0.696,0.78942,0.39142,1.72134,1.06347,1.31144,0.008416,0.008416,0.008416
58,17772.9,1.53544,1.0096,1.19535,0.81589,0.69274,0.78939,0.39128,1.70686,1.0541,1.32523,0.00838771,0.00838771,0.00838771
59,17994.9,1.52607,1.00711,1.19212,0.77233,0.72705,0.79126,0.38981,1.72449,1.06232,1.32422,0.00835943,0.00835943,0.00835943
60,18265.2,1.53052,0.99515,1.18625,0.80322,0.71981,0.7978,0.39795,1.7144,1.00306,1.31807,0.00833114,0.00833114,0.00833114
61,18471.4,1.53307,1.00076,1.19435,0.80009,0.69703,0.79006,0.38878,1.7284,1.07005,1.33467,0.00830286,0.00830286,0.00830286
62,18697.7,1.52696,0.98498,1.18789,0.81754,0.71912,0.80728,0.40081,1.7089,1.01428,1.3145,0.00827457,0.00827457,0.00827457
63,18905.2,1.51909,0.98859,1.19424,0.80431,0.70842,0.79021,0.39078,1.73748,1.02076,1.33342,0.00824629,0.00824629,0.00824629
64,19125.6,1.50671,0.97485,1.18668,0.81691,0.70206,0.80001,0.39781,1.73027,1.04365,1.33087,0.008218,0.008218,0.008218
65,19334,1.52519,0.97844,1.18773,0.8004,0.71815,0.79696,0.39567,1.72506,1.01354,1.31936,0.00818971,0.00818971,0.00818971
66,19557,1.51033,0.97697,1.18767,0.79676,0.70428,0.78163,0.38684,1.73512,1.06099,1.3243,0.00816143,0.00816143,0.00816143
67,19772.6,1.49715,0.96276,1.17352,0.81699,0.69807,0.79375,0.39937,1.71411,1.02302,1.31244,0.00813314,0.00813314,0.00813314
68,19995.9,1.50032,0.96314,1.18053,0.78632,0.73139,0.80651,0.40154,1.7271,1.00222,1.33114,0.00810486,0.00810486,0.00810486
69,20202,1.50171,0.95848,1.17844,0.79101,0.74051,0.80738,0.40179,1.72761,0.99058,1.33002,0.00807657,0.00807657,0.00807657
70,20424.4,1.49902,0.9554,1.17832,0.81168,0.71946,0.8043,0.40165,1.71243,1.00929,1.32205,0.00804829,0.00804829,0.00804829
71,20639.8,1.49363,0.94909,1.18473,0.80371,0.72533,0.80294,0.39916,1.72438,1.02894,1.329,0.00802,0.00802,0.00802
72,20870.1,1.47903,0.95155,1.1617,0.81898,0.70117,0.79661,0.39848,1.73275,1.01019,1.32553,0.00799171,0.00799171,0.00799171
73,21090.7,1.4767,0.93922,1.16764,0.82148,0.69634,0.80115,0.40178,1.7257,1.00106,1.33014,0.00796343,0.00796343,0.00796343
74,21312.8,1.47064,0.93226,1.16527,0.787,0.73982,0.80498,0.4016,1.72199,0.98844,1.30593,0.00793514,0.00793514,0.00793514
75,21528.8,1.48574,0.94281,1.16347,0.79987,0.72464,0.80081,0.40251,1.72326,0.99022,1.32473,0.00790686,0.00790686,0.00790686
76,21756.7,1.48182,0.93376,1.16126,0.80435,0.71291,0.79271,0.38953,1.73957,1.01898,1.31412,0.00787857,0.00787857,0.00787857
77,21978,1.47848,0.9276,1.16679,0.82021,0.70807,0.79672,0.40448,1.72074,0.98056,1.312,0.00785029,0.00785029,0.00785029
78,22205.5,1.46255,0.9145,1.15053,0.80327,0.73124,0.80644,0.40167,1.73384,1.00065,1.32408,0.007822,0.007822,0.007822
79,22416.1,1.46587,0.91224,1.15879,0.80419,0.72533,0.80649,0.39843,1.74115,1.01416,1.32048,0.00779371,0.00779371,0.00779371
80,22641.3,1.46819,0.91499,1.15772,0.808,0.72705,0.8079,0.4098,1.69752,0.98568,1.30295,0.00776543,0.00776543,0.00776543
81,22850.2,1.47247,0.91904,1.15799,0.80623,0.72602,0.80353,0.4021,1.73605,0.99453,1.32643,0.00773714,0.00773714,0.00773714
82,23073.7,1.46608,0.91216,1.15327,0.8138,0.74956,0.81186,0.40882,1.72153,0.97002,1.31185,0.00770886,0.00770886,0.00770886
83,23284.3,1.44781,0.89928,1.15498,0.80838,0.72429,0.80371,0.40575,1.72811,0.99117,1.33,0.00768057,0.00768057,0.00768057
84,23503.4,1.43792,0.90231,1.14539,0.81989,0.71325,0.81394,0.40576,1.74754,0.97755,1.32187,0.00765229,0.00765229,0.00765229
85,23709.8,1.4567,0.90412,1.15114,0.8292,0.71014,0.80259,0.40141,1.73036,1.0048,1.31734,0.007624,0.007624,0.007624
86,23938.4,1.42802,0.88531,1.13638,0.82859,0.7236,0.81179,0.4118,1.70465,0.97267,1.31025,0.00759571,0.00759571,0.00759571
87,24147.4,1.4342,0.87766,1.14764,0.82052,0.73188,0.81458,0.40719,1.7215,0.96837,1.32654,0.00756743,0.00756743,0.00756743
88,24366.2,1.44177,0.8953,1.1363,0.82695,0.72223,0.81111,0.41002,1.71451,0.96219,1.31022,0.00753914,0.00753914,0.00753914
89,24584.6,1.42559,0.88295,1.13507,0.81022,0.73292,0.81229,0.40731,1.73991,0.98992,1.31648,0.00751086,0.00751086,0.00751086
90,24812.8,1.41755,0.88402,1.13444,0.82089,0.73063,0.81251,0.40877,1.7251,0.97005,1.31129,0.00748257,0.00748257,0.00748257
91,25021.8,1.42556,0.88512,1.14271,0.79999,0.74803,0.82218,0.40982,1.72564,0.96335,1.31828,0.00745429,0.00745429,0.00745429
92,25250.6,1.43463,0.8771,1.1352,0.81223,0.73437,0.80853,0.40771,1.71691,0.96747,1.31046,0.007426,0.007426,0.007426
93,25456.3,1.41532,0.86942,1.12659,0.80524,0.74051,0.81696,0.40582,1.72928,0.96948,1.31414,0.00739771,0.00739771,0.00739771
94,25675,1.41522,0.86183,1.12496,0.83667,0.71049,0.81259,0.40288,1.72427,0.9874,1.31135,0.00736943,0.00736943,0.00736943
95,25891.9,1.41028,0.86698,1.12476,0.8338,0.72326,0.81793,0.40686,1.73383,0.96261,1.31362,0.00734114,0.00734114,0.00734114
96,26144,1.41221,0.85576,1.12266,0.83812,0.7167,0.80681,0.40468,1.71559,0.98086,1.30056,0.00731286,0.00731286,0.00731286
97,26351.8,1.41168,0.85978,1.12707,0.8093,0.74948,0.81829,0.41507,1.708,0.94418,1.29962,0.00728457,0.00728457,0.00728457
98,26575.5,1.41003,0.86425,1.13033,0.80118,0.73973,0.80619,0.4039,1.72321,0.96812,1.31936,0.00725629,0.00725629,0.00725629
99,26785.8,1.40154,0.86374,1.12584,0.82511,0.72283,0.81408,0.40637,1.72345,0.95882,1.30728,0.007228,0.007228,0.007228
100,27007.5,1.39434,0.84139,1.12145,0.8162,0.72533,0.80963,0.40867,1.72366,0.95532,1.31811,0.00719971,0.00719971,0.00719971
101,27269.8,1.4032,0.84465,1.12785,0.81644,0.7321,0.81295,0.41137,1.73377,0.95954,1.31399,0.00717143,0.00717143,0.00717143
102,27532.4,1.40494,0.86368,1.13327,0.83023,0.72498,0.81112,0.40407,1.73852,0.97886,1.33747,0.00714314,0.00714314,0.00714314
103,27738.7,1.38707,0.8469,1.11416,0.82064,0.74293,0.81753,0.41034,1.74267,0.94166,1.33587,0.00711486,0.00711486,0.00711486
104,27962.3,1.37764,0.83917,1.11257,0.81358,0.74638,0.81204,0.40868,1.73273,0.95042,1.31957,0.00708657,0.00708657,0.00708657
105,28170.8,1.39882,0.85011,1.1182,0.79597,0.75387,0.81088,0.40817,1.72829,0.95104,1.33052,0.00705829,0.00705829,0.00705829
106,28391.2,1.38946,0.84668,1.12399,0.84071,0.72602,0.81801,0.41295,1.72435,0.93826,1.31795,0.00703,0.00703,0.00703
107,28596,1.37425,0.8295,1.10932,0.83229,0.73294,0.81769,0.41171,1.72855,0.94655,1.32233,0.00700171,0.00700171,0.00700171
